"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/taronlinge/Documents/GitHub/cs320TermProject/src/Taron/routes/anime.js", "JavaScript", 13, 2, 3, 18
"/Users/taronlinge/Documents/GitHub/cs320TermProject/src/Taron/routes/shows.js", "JavaScript", 1, 0, 1, 2
"Total", "-", 14, 2, 4, 20
