"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/taronlinge/Documents/GitHub/cs320TermProject/src/Taron/routes/anime.js", "JavaScript", 11, 2, 4, 17
"Total", "-", 11, 2, 4, 17
