"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/taronlinge/Documents/GitHub/cs320TermProject/src/Taron/routes/anime.js", "JavaScript", 18, 2, 5, 25
"Total", "-", 18, 2, 5, 25
